,word,freq,embed_pca_x,embed_pca_y,embed_tsne_x,embed_tsne_y
6,M346,249,-1.827158840094844,-0.5050286875586797,17.9576358795166,-39.24386978149414
7,M297,265,-0.17084119378594873,-2.669113286407222,20.702438354492188,-20.139062881469727
8,M009,223,-1.2925347752521197,-0.825429735584956,24.690494537353516,-17.160566329956055
9,M371,308,-0.7408016440610299,-0.3170709613841082,42.70354461669922,-11.73592758178711
10,M219,88,-0.0074967307461614755,-1.405401588586489,39.152103424072266,-12.058439254760742
13,M387,249,-1.1911618039553342,-1.4360640141281824,30.884334564208984,-14.800682067871094
16,M004,115,0.40688773734522293,-1.1845512001130396,39.61497497558594,-14.97464656829834
17,M218,525,-0.9923772258275371,-1.023186205292157,42.6666145324707,-11.549564361572266
18,M288,829,-0.3583861737818893,-3.8018920841487347,20.367536544799805,-37.91929244995117
21,M210,9,-1.1720561926508115,-0.909510061097186,13.278543472290039,-26.625877380371094
23,M259,69,0.41380180998101174,-1.1712708728865755,39.236961364746094,-15.476269721984863
26,M096,212,-0.3194202071249743,-0.44133143567005567,42.719818115234375,-11.91651439666748
27,M054,258,-1.315522889005916,-0.5110349443663849,18.03641700744629,-18.301605224609375
31,M139,38,-0.7411810445644562,-1.8824989410698494,33.690582275390625,-20.92832374572754
32,M388,620,0.6194566009015064,-1.7208622835470972,37.151058197021484,-16.08919334411621
38,M377,55,-0.4209167597201783,-1.6161045657160484,35.6163330078125,-19.05851173400879
39,M251,5,-0.024070463210482024,0.2885035485612956,-20.02459716796875,-12.181668281555176
45,M320,49,-1.04013796594711,-0.4112643623085266,24.109994888305664,-15.800743103027344
47,M240,49,0.15767252723354558,-1.5003558351942097,39.61769104003906,-13.823148727416992
49,M354,112,-1.5974296264480596,-2.744791585473593,19.62742805480957,-37.87824630737305
53,M106,34,-1.8064468762228996,-0.9623993834222546,13.813352584838867,-36.12001037597656
59,M066,243,-0.369790681065922,-1.1655142692501632,42.11814880371094,-12.06531047821045
66,M157,234,-3.420333154134283,3.8776847946659916,-6.822175025939941,-41.59754943847656
67,M124,294,-0.44608008072506317,-1.954407151094523,35.98912048339844,-21.74131965637207
69,M376,212,-1.630327405112876,-0.43904567868915534,17.786821365356445,-39.47926712036133
70,M072,95,-1.3585313182291714,1.1905134772371062,-11.787881851196289,-33.87253189086914
75,M144,12,-0.35725260990015295,-1.2362287492449187,26.044281005859375,-10.384614944458008
81,M260,39,-2.652287948019964,1.406169957438987,-6.812729835510254,-39.89013671875
84,M101,52,-1.049153033827115,-0.4868544724177454,27.423887252807617,-14.668535232543945
85,M247,3,-0.8405640031726473,0.4080719095888676,-6.269199371337891,-25.556751251220703
93,M141,4,0.5223300731811893,-0.48858914733671743,29.56283187866211,8.543587684631348
95,M305,127,-0.7018679072469826,-1.9560434979203318,22.195999145507812,-27.274261474609375
97,M291,16,-0.9255718305882923,-1.9603101691910976,31.85245704650879,-22.004549026489258
98,M036,128,-1.1132265278205171,-2.306841225310751,18.729536056518555,-36.278289794921875
101,M086,5,-0.3369195502376071,0.18918846690993352,-27.31624412536621,-24.25554847717285
102,M002,38,-1.4560993610110333,-2.2643977212764814,18.58995246887207,-37.51961135864258
103,M372,33,-0.42292020691065224,-0.22731002886223037,24.838706970214844,-15.148144721984863
107,M059,68,-2.1668492256149663,-1.366771811176181,14.404753684997559,-34.82108688354492
112,M471,1,0.10899851583847305,0.9513491646261383,-35.458309173583984,-6.316737174987793
114,M370,119,-0.7392635726265179,-2.0927820585047434,33.405921936035156,-23.128938674926758
115,M041,17,-0.9316097307703723,-1.4486300542671675,21.58850860595703,-26.46317481994629
116,M367,98,-1.7140006034248707,-1.5110866524494047,18.232919692993164,-38.180397033691406
118,M081,41,-1.3176512952983184,-1.790752358145004,23.513492584228516,-29.684009552001953
119,M001,141,-0.9975197156661295,-0.5902043745622562,18.394718170166016,-18.350542068481445
122,M317,49,-1.111183835263851,-0.1117001296321594,21.960494995117188,-17.547260284423828
