,word,freq,x,y
6,M346,249,-1.8271588400898224,-0.5050286875722803
7,M297,265,-0.17084119377222992,-2.66911328625292
8,M009,223,-1.2925347752481084,-0.8254297355457559
9,M371,308,-0.7408016440480361,-0.3170709612537259
10,M219,88,-0.007496730742864701,-1.405401588537973
13,M387,249,-1.1911618039593406,-1.4360640141140777
16,M004,115,0.40688773734780237,-1.1845512000662295
17,M218,525,-0.992377225845024,-1.0231862053879934
18,M288,829,-0.3583861737799182,-3.801892084139571
21,M210,9,-1.1720561926569113,-0.9095100611056095
23,M259,69,0.4138018099852973,-1.1712708728162444
26,M096,212,-0.31942020713212854,-0.4413314357324273
27,M054,258,-1.315522889005018,-0.5110349443342085
31,M139,38,-0.7411810445676903,-1.8824989411365403
32,M388,620,0.6194566009024433,-1.7208622834685106
38,M377,55,-0.42091675972514647,-1.6161045657608437
39,M251,5,-0.02407046321426827,0.28850354852479626
45,M320,49,-1.040137965941834,-0.41126436225879504
47,M240,49,0.15767252722829014,-1.5003558352191755
49,M354,112,-1.5974296264369956,-2.7447915854350144
53,M106,34,-1.806446876209943,-0.9623993833204224
59,M066,243,-0.3697906810664067,-1.165514269230328
66,M157,234,-3.420333154137661,3.8776847945233417
67,M124,294,-0.44608008072831873,-1.9544071510656738
69,M376,212,-1.6303274051040675,-0.4390456786153087
70,M072,95,-1.3585313182262964,1.190513477233156
75,M144,12,-0.35725260990104285,-1.2362287492329282
81,M260,39,-2.6522879480187904,1.406169957417293
84,M101,52,-1.0491530338336823,-0.4868544725564077
85,M247,3,-0.8405640031670769,0.40807190962588136
93,M141,4,0.5223300731846313,-0.4885891473101871
95,M305,127,-0.7018679072408603,-1.956043497915088
97,M291,16,-0.9255718305882223,-1.9603101691745537
98,M036,128,-1.113226527802009,-2.3068412252194848
101,M086,5,-0.33691955023686015,0.18918846691265406
102,M002,38,-1.4560993610017041,-2.264397721212949
103,M372,33,-0.4229202069052731,-0.2273100288312944
107,M059,68,-2.1668492256055334,-1.3667718111074025
112,M471,1,0.10899851583875234,0.9513491646199619
114,M370,119,-0.7392635726317278,-2.092782058562725
115,M041,17,-0.9316097307686098,-1.448630054258123
116,M367,98,-1.714000603421548,-1.5110866525000919
118,M081,41,-1.3176512952881119,-1.7907523581739961
119,M001,141,-0.9975197156601187,-0.5902043745543875
122,M317,49,-1.1111838352617942,-0.11170012969197426
134,M340,27,-1.1713599852347816,-1.872682107579773
135,M301,26,-0.31943999190408817,-1.1630981597824521
136,M295,10,-0.29127510036180443,-1.03477092554638
138,M302,1,0.10481198488715897,0.7531570655128088
139,M032,121,-0.5608697829422882,-0.3564123599102769
145,M047,9,0.08308050156012631,-0.9149607288146397
146,M033,38,-1.0490229980782941,-1.4728051063617142
147,M136,13,-0.7659218836115609,-1.3368982502403728
150,M304,50,-1.7359218658105715,-1.1457174057534838
161,M373,63,-2.192794121354971,1.103795146685956
164,M462,3,0.6815990625233873,0.1702893736145396
166,M217,29,-0.7088022786523192,-1.6551687178526164
